Close,SMA_Signals,MeanReversion_Signals,Combined_Signals,Returns,Cumulative_Returns
51.15250015258789,-1,-1,-1,-0.0015173644344743664,750.6453987401586
50.16749954223633,-1,0,-1,0.019256157712981836,765.0999449248231
52.630001068115234,-1,-1,-1,-0.04908559422631198,727.5445594856697
52.287498474121094,-1,-1,-1,0.006507744386150871,732.2792335083373
52.9375,-1,-1,-1,-0.012431298969114213,723.1760514277213
52.119998931884766,-1,-1,-1,0.015442759256013905,734.3438850896343
50.71500015258789,-1,0,-1,0.026956999387760083,754.139592750401
50.724998474121094,-1,0,-1,-0.00019714722474861723,753.9909162226171
50.18000030517578,-1,0,-1,0.010744173195458284,762.0919252143152
49.29499816894531,-1,1,-1,0.017636551033244685,775.5325983453812
46.43000030517578,-1,1,-1,0.0581194435579554,820.6061214222701
47.165000915527344,-1,1,-1,-0.015830295186744392,807.6156842881062
