price,short_ma,long_ma,z_score,buy_signal,sell_signal,signal
169.67999267578125,166.19499969482422,157.90300018310546,0.013254406094568903,0,1,-1
169.58999633789062,166.63099975585936,158.22059997558594,0.007821216882030602,0,1,-1
168.5399932861328,166.83799896240234,158.54039978027345,-0.05556875417297077,0,0,0
167.4499969482422,166.81999816894532,158.9197998046875,-0.12137316892516829,0,0,0
165.7899932861328,166.73399810791017,159.25739959716796,-0.22158962440703361,0,0,0
173.57000732421875,167.58899841308593,159.74079986572266,0.24809935778796738,0,1,-1
173.5,168.40599822998047,160.27659973144532,0.24387292982812916,0,1,-1
171.77000427246094,169.20599822998048,160.75359985351562,0.1394309675782216,0,1,-1
173.55999755859375,170.18599853515624,161.27659973144532,0.24749505596982138,0,1,-1
173.75,170.71999816894532,161.84539978027342,0.258965736213044,0,1,-1
